6.505795156484415198e-01,-5.754808896023630993e-01,5.411133091155295727e-01,-6.869337723287204968e-03,-8.052393535223328902e-03,-7.036873772213159128e-01,7.104308857761753027e-01,-3.912798685078713802e-04,0.000000000000000000e+00,2.487338789506421746e-02,-1.087736743737297562e+00,7.217124240868624252e-01,-5.904697268788872133e-01,6.039210474819636104e-02,1.120652366263004129e+00,4.561384411548594087e-01,5.197609543037322588e-01,5.878332632431150853e-03,5.077666800305072337e-02,7.633400844635192251e-02,8.648110831551532318e-02,-1.116908140935383570e-01,-3.060512235749758211e-02,-2.402885238172025248e-02,-6.928006803380463985e-02,-1.241428398931898602e-01,1.569157334790266534e-01,-7.197309738605278673e-02,4.012709797438798048e-02
6.505849627194539853e-01,-5.755601749441542347e-01,5.411048627827604873e-01,-6.889641819340867890e-03,-8.098147339662010308e-03,-7.036802390604441904e-01,7.104372579120510345e-01,-3.916213586533371011e-04,0.000000000000000000e+00,2.440699319871962938e-02,-1.088292322483592756e+00,7.223631742127211153e-01,-5.891132580572511213e-01,6.183079891367707775e-02,1.124961427180870333e+00,4.453375279924977614e-01,5.158367688188250089e-01,6.167427225215965300e-03,5.070556499569521536e-02,7.609730638314850248e-02,8.649319647680082934e-02,-1.113561303428731719e-01,-3.083931543821124416e-02,-2.375330354987123527e-02,-6.932402732168142789e-02,-1.240648133245554341e-01,1.569831257840286765e-01,-7.184556080095359787e-02,4.038924612075674159e-02
6.506112410806360602e-01,-5.756852547479339721e-01,5.411004941202475216e-01,-6.761932226599400714e-03,-8.065750678684601577e-03,-7.036044443913740398e-01,7.105138872830736307e-01,-3.921979579798799383e-04,0.000000000000000000e+00,2.348289303223059440e-02,-1.089100595915607261e+00,7.235013477688778671e-01,-5.873508023164911718e-01,6.367905584295668886e-02,1.131869953027992093e+00,4.272613443677234502e-01,5.094952884811941862e-01,6.209387301237045097e-03,5.045804316829230474e-02,7.579975894134860503e-02,8.635772509971079147e-02,-1.112343435233745098e-01,-3.072537779295034244e-02,-2.373925061480306950e-02,-6.956502220953887650e-02,-1.242060052514974144e-01,1.571155242097238003e-01,-7.206570344387104587e-02,4.057084007911555129e-02
6.506390469237528507e-01,-5.758662629667981037e-01,5.410936813335418538e-01,-6.549169405495384316e-03,-7.960573629839338972e-03,-7.034303437053901487e-01,7.106893792779336305e-01,-3.929718871565970884e-04,0.000000000000000000e+00,2.240550167573323453e-02,-1.089803076154690631e+00,7.253399652951679766e-01,-5.857088364490922183e-01,6.377938640330180209e-02,1.138794513709291412e+00,4.086990764839675827e-01,5.005276833683703908e-01,5.902357536638099846e-03,5.019428496611587354e-02,7.548268587071937930e-02,8.645944175559858169e-02,-1.115435068302365745e-01,-3.058444952341496728e-02,-2.378165990287218687e-02,-6.986915028313045450e-02,-1.245879822697350814e-01,1.572704765650222436e-01,-7.249335337083480379e-02,4.073266994356610632e-02
6.506650794692312445e-01,-5.760669429991686075e-01,5.410895723549320468e-01,-6.390000188524152733e-03,-7.854872413771460393e-03,-7.032401035847358761e-01,7.108803493434754373e-01,-3.937213259991856340e-04,0.000000000000000000e+00,2.126038195706477646e-02,-1.090408896682600215e+00,7.272369801534384059e-01,-5.837756460157809135e-01,6.220708379720991943e-02,1.143882410098838065e+00,3.956363008175367568e-01,4.908926507559887575e-01,5.624465989011387043e-03,5.002927007324124015e-02,7.502175528367385771e-02,8.671680792062558263e-02,-1.119549446854370273e-01,-3.071775025924569635e-02,-2.345303721725260776e-02,-7.002558518721045677e-02,-1.251397938751885874e-01,1.570383264998338468e-01,-7.302910461772757489e-02,4.062311637881980270e-02
6.506756715154144999e-01,-5.762793240378651927e-01,5.410825069463781611e-01,-6.256447516915683918e-03,-7.762336095889704052e-03,-7.031381209382664421e-01,7.109833871259045868e-01,-3.945086129537113450e-04,0.000000000000000000e+00,2.017636782162326309e-02,-1.091565065925928835e+00,7.283099520617706268e-01,-5.805028001332845911e-01,5.983967814011700859e-02,1.147408943559313110e+00,3.867814922663526112e-01,4.808563018425562885e-01,5.515472230987812641e-03,4.991434353436068755e-02,7.466702357676006929e-02,8.698622968842924241e-02,-1.122176564563511642e-01,-3.054228248577313745e-02,-2.324549415228226515e-02,-7.013503230939099886e-02,-1.253580997981549316e-01,1.570735356860298859e-01,-7.349138307377944823e-02,4.071461411474040781e-02
6.507035297628737114e-01,-5.764618258316063226e-01,5.410777071250937320e-01,-6.072808460700219145e-03,-7.677270168779250920e-03,-7.030310750709649614e-01,7.110917282815981677e-01,-3.951711841261313762e-04,0.000000000000000000e+00,1.948217704123444624e-02,-1.092995924124105400e+00,7.282542143926685752e-01,-5.771136567244856685e-01,5.837381797340954886e-02,1.149379961449872978e+00,3.808317091301560708e-01,4.738723097837129195e-01,5.385926891946707547e-03,4.966086272248568939e-02,7.434706251219212747e-02,8.705108722572879598e-02,-1.124062408556906617e-01,-3.024749971146675417e-02,-2.329888479977033217e-02,-7.039572199492311055e-02,-1.256323407515018142e-01,1.572801828861783713e-01,-7.425781533327202588e-02,4.056867759279525476e-02
6.507184319219936341e-01,-5.766391167396458517e-01,5.410658956151239707e-01,-5.905250402856308117e-03,-7.606715947437616213e-03,-7.028995587407315115e-01,7.112239413979060121e-01,-3.957841511132942315e-04,0.000000000000000000e+00,1.918286695925448468e-02,-1.094293576908469845e+00,7.279269951436233566e-01,-5.742334202648589070e-01,5.762267779460399780e-02,1.150571512734179347e+00,3.759080420378860254e-01,4.691867234869394054e-01,5.222862688692547425e-03,4.944045842102717803e-02,7.406978165242657230e-02,8.719236180824239957e-02,-1.125093815307443151e-01,-3.036648537100302900e-02,-2.342705426830021809e-02,-7.065461067835515641e-02,-1.259835717410835998e-01,1.577889628163509084e-01,-7.488173094742378577e-02,4.064282909264997634e-02
6.507249822104375081e-01,-5.768528829413269721e-01,5.410531067009145545e-01,-5.863984542500850702e-03,-7.667296000723473892e-03,-7.027846006701422565e-01,7.113372094102683452e-01,-3.964179415182913190e-04,0.000000000000000000e+00,1.900193261805808997e-02,-1.094947366099849884e+00,7.283893047891127903e-01,-5.720102020426641731e-01,5.807007235365102549e-02,1.151029904212195865e+00,3.715965847287986401e-01,4.665456597041775511e-01,5.457564358958724542e-03,4.924765018858864168e-02,7.383354532837826945e-02,8.754427158770139439e-02,-1.127775656759818085e-01,-3.044689104171298399e-02,-2.281589166786725936e-02,-7.087217962698935669e-02,-1.263961520128037974e-01,1.578766088709489535e-01,-7.553074860015746017e-02,4.110181985794872372e-02
6.507183867650954134e-01,-5.770979629751241680e-01,5.410432325946206156e-01,-5.846471787496839226e-03,-7.697771179649276312e-03,-7.027447234398828124e-01,7.113764220833084240e-01,-3.971066544263742457e-04,0.000000000000000000e+00,1.852785697544201415e-02,-1.095117770241851307e+00,7.295800924556028466e-01,-5.701427620065208091e-01,5.865530812804505001e-02,1.151201802187078016e+00,3.681513201919576206e-01,4.646492893259340784e-01,5.758328892006130476e-03,4.917231659922866038e-02,7.363146537556380933e-02,8.794431955070050599e-02,-1.133059020979416964e-01,-3.038225826226333137e-02,-2.220636422527942633e-02,-7.096328996487089036e-02,-1.266422019350577910e-01,1.579744830400248157e-01,-7.579869035301363411e-02,4.140268485469207616e-02
